binary,stem,alpha,F1
False,False,0.10000000000000002,0.8035126882964561
False,False,0.14142135623730953,0.8075291197660374
False,False,0.2,0.8080498134899085
False,False,0.28284271247461906,0.8090155103460777
False,False,0.4000000000000001,0.80995425770744
False,False,0.5656854249492381,0.8109326240410741
False,False,0.8,0.8094301948501723
False,False,1.131370849898476,0.8125046162300382
False,False,1.6,0.8190257774861596
False,False,2.262741699796952,0.8189967234436516
False,False,3.2,0.8191578204660054
False,False,4.525483399593904,0.8037353472586762
False,False,6.4,0.7859128043768481
False,False,9.050966799187808,0.746419529622262
False,False,12.799999999999999,0.6810106843179001
False,False,18.101933598375616,0.5891407957776382
False,True,0.10000000000000002,0.6327085552846696
False,True,0.14142135623730953,0.6264546885081561
False,True,0.2,0.6223849961866035
False,True,0.28284271247461906,0.6160827074008057
False,True,0.4000000000000001,0.6100794951094596
False,True,0.5656854249492381,0.6034745808601641
False,True,0.8,0.6031027927325706
False,True,1.131370849898476,0.6023737459700629
False,True,1.6,0.6092077530851834
False,True,2.262741699796952,0.6237344707202362
False,True,3.2,0.6530773490444529
False,True,4.525483399593904,0.686430876432446
False,True,6.4,0.7285231182728182
False,True,9.050966799187808,0.7740322914365744
False,True,12.799999999999999,0.772028664169896
False,True,18.101933598375616,0.7016796357394733
True,False,0.10000000000000002,0.7326521155821283
True,False,0.14142135623730953,0.734132990155772
True,False,0.2,0.7287013892115434
True,False,0.28284271247461906,0.726223928171
True,False,0.4000000000000001,0.726002549595228
True,False,0.5656854249492381,0.7195777858392118
True,False,0.8,0.7205509938390545
True,False,1.131370849898476,0.7217943051985324
True,False,1.6,0.7242371860952496
True,False,2.262741699796952,0.7332106718239582
True,False,3.2,0.7435643520827948
True,False,4.525483399593904,0.7595341278293847
True,False,6.4,0.7680455411711316
True,False,9.050966799187808,0.7858935784792316
True,False,12.799999999999999,0.7940036432426054
True,False,18.101933598375616,0.795007930456241
True,True,0.10000000000000002,0.4763760994633399
True,True,0.14142135623730953,0.46230220639675174
True,True,0.2,0.45198860470957297
True,True,0.28284271247461906,0.44237195629549414
True,True,0.4000000000000001,0.43348966674088507
True,True,0.5656854249492381,0.4192202719785804
True,True,0.8,0.41004553759573703
True,True,1.131370849898476,0.39907677256106666
True,True,1.6,0.3900975363281142
True,True,2.262741699796952,0.389214724446008
True,True,3.2,0.38971443939501843
True,True,4.525483399593904,0.397164372572478
True,True,6.4,0.41016137797461266
True,True,9.050966799187808,0.44315291517794525
True,True,12.799999999999999,0.4914233611134846
True,True,18.101933598375616,0.5617185831800745
